dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
io.springfox:springfox-swagger-ui,org.slf4j:slf4j-simple,10,128,386,0.08,0.03,0.08
io.springfox:springfox-swagger-ui,javax.annotation:javax.annotation-api,11,128,244,0.09,0.05,0.09
com.h2database:h2,org.apache.maven:maven-core,23,367,192,0.06,0.12,0.12
org.apache.commons:commons-collections4,org.scala-lang:scala-library,27,232,173,0.12,0.16,0.16
cglib:cglib,com.fasterxml.jackson.core:jackson-annotations,38,135,448,0.28,0.08,0.28
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,javax.servlet.jsp:jsp-api,6,144,106,0.04,0.06,0.06
org.elasticsearch:elasticsearch,org.springframework:spring-beans,18,125,254,0.14,0.07,0.14
commons-cli:commons-cli,org.elasticsearch:elasticsearch,28,384,125,0.07,0.22,0.22
commons-cli:commons-cli,commons-logging:commons-logging,107,384,370,0.28,0.29,0.29
com.alibaba:fastjson,org.testng:testng,16,338,286,0.05,0.06,0.06
com.alibaba:fastjson,org.apache.ant:ant,6,338,153,0.02,0.04,0.04
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.slf4j:slf4j-simple,26,125,386,0.21,0.07,0.21
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.junit.jupiter:junit-jupiter-api,20,125,288,0.16,0.07,0.16
commons-collections:commons-collections,org.awaitility:awaitility,26,284,161,0.09,0.16,0.16
org.apache.lucene:lucene-core,org.easymock:easymock,20,140,183,0.14,0.11,0.14
commons-dbcp:commons-dbcp,org.codehaus.jackson:jackson-mapper-asl,21,124,155,0.17,0.14,0.17
commons-dbcp:commons-dbcp,org.apache.maven.plugin-tools:maven-plugin-annotations,11,124,233,0.09,0.05,0.09
commons-dbcp:commons-dbcp,io.dropwizard.metrics:metrics-core,14,124,154,0.11,0.09,0.11
com.thoughtworks.xstream:xstream,org.codehaus.groovy:groovy-all,22,127,119,0.17,0.18,0.18
com.thoughtworks.xstream:xstream,org.springframework:spring-aop,32,127,180,0.25,0.18,0.25
io.netty:netty-handler,org.apache.commons:commons-collections4,18,117,232,0.15,0.08,0.15
io.netty:netty-handler,javax.annotation:javax.annotation-api,26,117,244,0.22,0.11,0.22
io.netty:netty-handler,javax.xml.bind:jaxb-api,29,117,305,0.25,0.1,0.25
commons-logging:commons-logging,org.slf4j:slf4j-jdk14,28,370,110,0.08,0.25,0.25
org.apache.zookeeper:zookeeper,org.junit.jupiter:junit-jupiter-engine,17,193,344,0.09,0.05,0.09
com.google.code.findbugs:jsr305,org.assertj:assertj-core,95,332,462,0.29,0.21,0.29
com.google.code.findbugs:jsr305,org.springframework:spring-beans,41,332,254,0.12,0.16,0.16
com.google.code.findbugs:jsr305,org.apache.logging.log4j:log4j-core,56,332,397,0.17,0.14,0.17
org.jsoup:jsoup,org.springframework.boot:spring-boot-starter-test,8,238,130,0.03,0.06,0.06
commons-configuration:commons-configuration,org.javassist:javassist,35,149,229,0.23,0.15,0.23
commons-configuration:commons-configuration,org.testng:testng,26,149,286,0.17,0.09,0.17
