repositoryName1,repositoryName2,intersection,similarity
fordfrog/apgdiff,jboss-javassist/javassist,"[junit:junit, org.hamcrest:hamcrest-all]",1.0
openjdk/jdk,openjdk/loom,"[com.github.librepdf:openpdf, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.apache.xmlgraphics:batik-dom, org.apache.xmlgraphics:batik-svggen, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.95
SAP/SapMachine,openjdk/panama-foreign,"[com.github.librepdf:openpdf, com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.apache.xmlgraphics:batik-dom, org.apache.xmlgraphics:batik-svggen, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",1.0
zeroturnaround/zt-exec,zeroturnaround/zt-process-killer,"[ch.qos.logback:logback-classic, commons-io:commons-io, junit:junit, org.apache.commons:commons-lang3, org.slf4j:slf4j-api]",0.71
Tencent/RapidView,luaj/luaj,"[junit:junit, org.luaj:luaj-jse]",1.0
mr-hashemi/mr-hashemi,oracle/graal,"[junit:junit, org.antlr:antlr4-runtime, org.graalvm.sdk:graal-sdk, org.graalvm.truffle:truffle-api, org.graalvm.truffle:truffle-dsl-processor, org.graalvm.truffle:truffle-tck]",0.75
jfree/jfreesvg,unitsofmeasurement/unit-api,"[org.junit.jupiter:junit-jupiter-api, org.junit.jupiter:junit-jupiter-engine]",1.0
eclipse-ee4j/jersey,javaee/jersey,"[com.esotericsoftware:kryo, com.fasterxml.jackson.core:jackson-annotations, com.fasterxml.jackson.core:jackson-core, com.fasterxml.jackson.core:jackson-databind, com.fasterxml.jackson.jaxrs:jackson-jaxrs-base, com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider, com.fasterxml.jackson.module:jackson-module-jaxb-annotations, com.fasterxml:classmate, com.github.fge:json-patch, com.google.guava:guava, com.sun.xml.bind:jaxb-impl, com.uber.jaeger:jaeger-core, com.yammer.metrics:metrics-core, commons-codec:commons-codec, commons-io:commons-io, commons-lang:commons-lang, commons-logging:commons-logging, io.dropwizard.metrics:metrics-core, io.netty:netty-all, io.opentracing:opentracing-api, io.opentracing:opentracing-util, javax.enterprise:cdi-api, javax.servlet:javax.servlet-api, javax.servlet:servlet-api, javax:javaee-api, junit:junit, org.apache.cxf:cxf-rt-rs-client, org.apache.felix:org.apache.felix.eventadmin, org.apache.felix:org.apache.felix.framework, org.apache.felix:org.apache.felix.framework.security, org.apache.felix:org.apache.felix.http.bundle, org.apache.httpcomponents:httpclient, org.apache.httpcomponents:httpcore-osgi, org.apache.maven.plugin-testing:maven-plugin-testing-harness, org.apache.maven.plugin-tools:maven-plugin-annotations, org.apache.maven.plugins:maven-enforcer-plugin, org.apache.maven.shared:maven-dependency-tree, org.apache.maven:maven-artifact, org.apache.maven:maven-compat, org.apache.maven:maven-core, org.apache.maven:maven-model, org.apache.maven:maven-plugin-api, org.apache.maven:maven-project, org.aspectj:aspectjrt, org.aspectj:aspectjweaver, org.codehaus.gmavenplus:gmavenplus-plugin, org.codehaus.jackson:jackson-core-asl, org.codehaus.jackson:jackson-jaxrs, org.codehaus.jackson:jackson-mapper-asl, org.codehaus.jackson:jackson-xc, org.codehaus.jettison:jettison, org.codehaus.woodstox:woodstox-core-asl, org.eclipse.jetty:jetty-client, org.eclipse.jetty:jetty-continuation, org.eclipse.jetty:jetty-server, org.eclipse.jetty:jetty-servlet, org.eclipse.jetty:jetty-util, org.eclipse.jetty:jetty-webapp, org.eclipse.persistence:org.eclipse.persistence.moxy, org.eclipse:yasson, org.glassfish.grizzly:connection-pool, org.glassfish.grizzly:grizzly-http-client, org.glassfish.grizzly:grizzly-http-server, org.glassfish.grizzly:grizzly-http-servlet, org.glassfish.grizzly:grizzly-websockets, org.glassfish.hk2.external:aopalliance-repackaged, org.glassfish.hk2:hk2-api, org.glassfish.hk2:osgi-resource-locator, org.glassfish.jersey.bundles:jaxrs-ri, org.glassfish.jersey.connectors:jersey-apache-connector, org.glassfish.jersey.connectors:jersey-grizzly-connector, org.glassfish.jersey.connectors:jersey-jdk-connector, org.glassfish.jersey.connectors:jersey-jetty-connector, org.glassfish.jersey.connectors:jersey-netty-connector, org.glassfish.jersey.containers.glassfish:jersey-gf-ejb, org.glassfish.jersey.containers:jersey-container-grizzly2-http, org.glassfish.jersey.containers:jersey-container-grizzly2-servlet, org.glassfish.jersey.containers:jersey-container-jdk-http, org.glassfish.jersey.containers:jersey-container-jetty-http, org.glassfish.jersey.containers:jersey-container-jetty-servlet, org.glassfish.jersey.containers:jersey-container-netty-http, org.glassfish.jersey.containers:jersey-container-servlet, org.glassfish.jersey.containers:jersey-container-servlet-core, org.glassfish.jersey.containers:jersey-container-simple-http, org.glassfish.jersey.core:jersey-client, org.glassfish.jersey.core:jersey-common, org.glassfish.jersey.core:jersey-server, org.glassfish.jersey.examples.osgi-helloworld-webapp:additional-bundle, org.glassfish.jersey.examples.osgi-helloworld-webapp:alternate-version-bundle, org.glassfish.jersey.examples.osgi-helloworld-webapp:lib-bundle, org.glassfish.jersey.examples.osgi-http-service:bundle, org.glassfish.jersey.ext.cdi:jersey-cdi1x, org.glassfish.jersey.ext.cdi:jersey-cdi1x-ban-custom-hk2-binding, org.glassfish.jersey.ext.cdi:jersey-cdi1x-servlet, org.glassfish.jersey.ext.cdi:jersey-cdi1x-transaction, org.glassfish.jersey.ext.cdi:jersey-cdi1x-validation, org.glassfish.jersey.ext.cdi:jersey-weld2-se, org.glassfish.jersey.ext.rx:jersey-rx-client-guava, org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava, org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava2, org.glassfish.jersey.ext:jersey-bean-validation, org.glassfish.jersey.ext:jersey-declarative-linking, org.glassfish.jersey.ext:jersey-entity-filtering, org.glassfish.jersey.ext:jersey-metainf-services, org.glassfish.jersey.ext:jersey-mvc, org.glassfish.jersey.ext:jersey-mvc-bean-validation, org.glassfish.jersey.ext:jersey-mvc-freemarker, org.glassfish.jersey.ext:jersey-mvc-jsp, org.glassfish.jersey.ext:jersey-mvc-mustache, org.glassfish.jersey.ext:jersey-proxy-client, org.glassfish.jersey.ext:jersey-servlet-portability, org.glassfish.jersey.ext:jersey-spring4, org.glassfish.jersey.ext:jersey-wadl-doclet, org.glassfish.jersey.incubator:jersey-open-tracing, org.glassfish.jersey.inject:jersey-cdi2-se, org.glassfish.jersey.inject:jersey-hk2, org.glassfish.jersey.media:jersey-media-jaxb, org.glassfish.jersey.media:jersey-media-json-binding, org.glassfish.jersey.media:jersey-media-json-jackson, org.glassfish.jersey.media:jersey-media-json-jackson1, org.glassfish.jersey.media:jersey-media-json-jettison, org.glassfish.jersey.media:jersey-media-json-processing, org.glassfish.jersey.media:jersey-media-kryo, org.glassfish.jersey.media:jersey-media-moxy, org.glassfish.jersey.media:jersey-media-multipart, org.glassfish.jersey.media:jersey-media-sse, org.glassfish.jersey.security:oauth1-client, org.glassfish.jersey.security:oauth1-server, org.glassfish.jersey.security:oauth1-signature, org.glassfish.jersey.security:oauth2-client, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-external, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-grizzly2, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-inmemory, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-jdk-http, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-jetty, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-netty, org.glassfish.jersey.test-framework.providers:jersey-test-framework-provider-simple, org.glassfish.jersey.test-framework:jersey-test-framework-core, org.glassfish.jersey.test-framework:jersey-test-framework-util, org.glassfish.jersey.test-framework:memleak-test-common, org.glassfish.jersey.tests.integration:ejb-multimodule-lib, org.glassfish.jersey.tests.integration:ejb-multimodule-reload-lib, org.glassfish.jersey.tests.integration:j-59-ejb-lib, org.glassfish.main.common:container-common, org.glassfish.main.ejb:ejb-container, org.glassfish:javax.servlet, org.glassfish:jsonp-jaxrs, org.hamcrest:hamcrest-library, org.javassist:javassist, org.jboss.logging:jboss-logging, org.jboss.weld.se:weld-se-core, org.jboss.weld.servlet:weld-servlet, org.jboss:jboss-vfs, org.jmockit:jmockit, org.mortbay.jetty:jetty, org.mortbay.jetty:jetty-util, org.mortbay.jetty:servlet-api-2.5, org.netbeans.api:org-openide-util-lookup, org.netbeans.html:ko-ws-tyrus, org.netbeans.html:net.java.html.json, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess, org.ops4j.pax.exam:pax-exam, org.ops4j.pax.exam:pax-exam-container-forked, org.ops4j.pax.exam:pax-exam-junit-extender-impl, org.ops4j.pax.exam:pax-exam-junit4, org.ops4j.pax.exam:pax-exam-link-mvn, org.ops4j.pax.logging:pax-logging-api, org.ops4j.pax.tinybundles:tinybundles, org.ops4j.pax.url:pax-url-aether, org.ops4j.pax.web:pax-web-extender-war, org.ops4j.pax.web:pax-web-jetty-bundle, org.osgi:org.osgi.compendium, org.osgi:org.osgi.core, org.reactivestreams:reactive-streams, org.simpleframework:simple-common, org.simpleframework:simple-http, org.simpleframework:simple-transport, org.skyscreamer:jsonassert, org.slf4j:slf4j-jdk14, org.slf4j:slf4j-log4j12, org.swinglabs:swing-layout, org.testng:testng, xerces:xercesImpl, xmlunit:xmlunit]",0.72
openjdk/amber,openjdk/jdk17,"[com.sun.hotspot.igv:Bytecodes, com.sun.hotspot.igv:ControlFlow, com.sun.hotspot.igv:Coordinator, com.sun.hotspot.igv:Data, com.sun.hotspot.igv:Difference, com.sun.hotspot.igv:Filter, com.sun.hotspot.igv:FilterWindow, com.sun.hotspot.igv:Graal, com.sun.hotspot.igv:Graph, com.sun.hotspot.igv:HierarchicalLayout, com.sun.hotspot.igv:Layout, com.sun.hotspot.igv:NetworkConnection, com.sun.hotspot.igv:SelectionCoordinator, com.sun.hotspot.igv:ServerCompiler, com.sun.hotspot.igv:Settings, com.sun.hotspot.igv:Util, com.sun.hotspot.igv:View, com.sun.hotspot.igv:branding, junit:junit, net.java.dev.swing-layout:swing-layout, org.netbeans.api:org-netbeans-api-progress, org.netbeans.api:org-netbeans-api-progress-nb, org.netbeans.api:org-netbeans-api-visual, org.netbeans.api:org-netbeans-modules-nbjunit, org.netbeans.api:org-netbeans-modules-options-api, org.netbeans.api:org-netbeans-spi-quicksearch, org.netbeans.api:org-openide-actions, org.netbeans.api:org-openide-awt, org.netbeans.api:org-openide-dialogs, org.netbeans.api:org-openide-explorer, org.netbeans.api:org-openide-filesystems, org.netbeans.api:org-openide-loaders, org.netbeans.api:org-openide-nodes, org.netbeans.api:org-openide-util, org.netbeans.api:org-openide-util-lookup, org.netbeans.api:org-openide-util-ui, org.netbeans.api:org-openide-windows]",0.9
amaembo/streamex,arteam/100-Java-Concurrency-questions,"[junit:junit, org.openjdk.jmh:jmh-core, org.openjdk.jmh:jmh-generator-annprocess]",0.75
