repositoryName1,repositoryName2,intersection,similarity
julman99/gson-fire,vdurmont/emoji-java,"[json, junit, testing]",0.75
Tencent/RapidView,perlundq/yajsync,"[junit, testing]",1.0
openmessaging/openmessaging-java,pivovarit/throwing-function,"[api, assertion, junit, logging, quality, slf4j, testing]",0.78
amaembo/streamex,optimatika/ojAlgo,"[benchmark, generator, junit, performance, testing]",0.71
ktuukkan/marine-api,luaj/luaj,"[junit, testing]",1.0
JodaOrg/joda-beans,greenrobot/essentials,"[google, junit, testing]",0.75
TopQuadrant/shacl,brsanthu/google-analytics-java,"[apache, api, bridge, junit, logging, slf4j, testing]",0.78
NLPchina/nlp-lang,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.83
davidmoten/rxjava-extras,davidmoten/rxjava2-extras,"[benchmark, bridge, github, google, io, junit, logging, mock, mocking, performance, reactive, serialization, slf4j, testing]",0.93
forcedotcom/EMP-Connector,gradle/oreilly-gradle-book-examples,"[junit, logging, testing]",0.75
JetBrains/intellij-plugins,apache/commons-imaging,"[io, junit, testing]",0.75
barend/java-iban,poetix/protonpack,"[junit, matching, testing]",0.75
TheHolyWaffle/TeamSpeak-3-Java-API,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.83
kokorin/Jaffree,zeroturnaround/zt-zip,"[api, junit, logging, slf4j, testing]",0.71
gturri/aXMLRPC,jnr/jnr-posix,"[github, junit, testing]",0.75
TopQuadrant/shacl,j256/simplemagic,"[apache, api, junit, logging, slf4j, testing]",0.75
OWASP/json-sanitizer,spotify/trickle,"[analysis, defect, google, junit, metadata, testing]",0.75
moditect/deptective,square/burst,"[assertion, google, junit, quality, testing]",0.71
McFoggy/cssfx,redfx-quantum/strange,"[engine, junit, testing]",0.75
SAP/SapMachine,openjdk/loom,"[apache, api, dom, file-system, github, graphics, ide, interface, junit, layout, loader, module, netbeans, svg, swing, testing, ui, visual]",0.86
Bukkit/Bukkit,mwanji/toml4j,"[google, json, junit, library, matching, testing]",0.86
j256/simplemagic,jalkanen/speed4j,"[api, junit, logging, slf4j, testing]",0.71
FastFilter/fastfilter_java,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.71
AdoptOpenJDK/jitwatch,perlundq/yajsync,"[junit, testing]",1.0
hazelcast/hazelcast,hazelcast/hazelcast-jet,"[agent, amazon, amqp, analysis, annotations, apache, api, assertion, avro, aws, azure, base64, binding, bridge, bundle, bytecode, cache, classpath, cli, client, cloud, codec, collections, column, command-line, commons, compression, connector, coordination, csv, database, date, defect, dependency-injection, distributed, driver, elastic, elasticsearch, embedded, encoding, encryption, engine, github, google, grpc, hadoop, hazelcast, http, io, javax, jdbc, jms, jmx, json, junit, jvm, kafka, kotlin, language, library, logging, mapreduce, matching, metadata, mock, mocking, module, mysql, osgi, parquet, parser, postgresql, prometheus, protocol, python, quality, queue, rabbitmq, reader, reflection, registry, rest, rpc, rules, s3, schema, sdk, search, serialization, server, slf4j, specs, spring, sql, standard, streaming, structures, support, system, testing, time, transport, web, xml, yaml, zookeeper]",0.74
lukaszlenart/launch4j-maven-plugin,tada/pljava,"[annotations, apache, api, build, build-system, junit, maven, metadata, plugin, testing, tools]",0.79
CryptoMorin/XSeries,aeshell/aesh,"[junit, testing]",1.0
fordfrog/apgdiff,mscharhag/oleaster,"[junit, matching, testing]",0.75
andrew-hoffman/halfnes,zhuowei/RaspberryJuice,"[mocking, testing, testng]",0.75
cybergarage/cybergarage-upnp,giltene/jHiccup,"[junit, testing]",1.0
NLPchina/nlp-lang,sofastack/sofa-common-tools,"[apache, api, junit, logging, slf4j, testing]",0.75
TooTallNate/Java-WebSocket,haosdent/jcgroup,"[api, json, junit, logging, slf4j, testing]",0.75
JodaOrg/joda-time,ktuukkan/marine-api,"[junit, testing]",1.0
beckchr/juel,unitsofmeasurement/unit-api,"[api, junit, testing]",0.75
TheHolyWaffle/TeamSpeak-3-Java-API,TopQuadrant/shacl,"[api, junit, logging, slf4j, testing]",0.71
apache/commons-codec,ls1intum/Artemis,"[apache, commons, testing]",0.75
inmite/android-validation-komensky,kevinsawicki/wishlist,"[android, google, junit, platform, support, testing]",0.75
apache/commons-dbutils,svendiedrichsen/jollyday,"[junit, matching, mock, mocking, testing]",0.71
JodaOrg/joda-time,NoCheatPlus/NoCheatPlus,"[junit, testing]",1.0
alibaba/cooma,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.71
schibsted/jslt,tencentyun/qcloud-cos-sts-sdk,"[binding, json, junit, testing]",0.8
huaban/jieba-analysis,usb4java/usb4java,"[apache, commons, junit, testing]",1.0
aliyun/aliyun-log-java-producer,hoijui/JavaOSC,"[api, junit, logging, slf4j, testing]",0.71
TooTallNate/Java-WebSocket,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
aeshell/aesh,ktuukkan/marine-api,"[junit, testing]",1.0
DarLiner/vjtools,vipshop/vjtools,"[apache, api, assertion, bridge, cli, commons, frontend, google, json, junit, logging, mock, mocking, parser, plugin, quality, slf4j, sonar, testing, tools]",0.83
jcbvm/i18n-editor,jeevatkm/digitalocean-api-java,"[apache, commons, google, json, junit, logging, slf4j, testing]",0.73
cucumber-attic/gherkin2,tbsalling/aismessages,"[junit, mock, mocking, testing]",1.0
fasseg/exp4j,gradle/oreilly-gradle-book-examples,"[junit, logging, testing]",1.0
pivovarit/parallel-collectors,pivovarit/throwing-function,"[api, assertion, engine, junit, logging, quality, slf4j, testing]",0.73
tzaeschke/ode4j,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",1.0
OpenHFT/Zero-Allocation-Hashing,sviperll/adt4j,"[analysis, annotations, defect, google, junit, metadata, testing]",0.78
gardncl/elements-of-programming-interviews,svendiedrichsen/jollyday,"[junit, matching, mock, mocking, testing]",0.71
eBay/cors-filter,sosy-lab/java-smt,"[api, javax, junit, servlet, specs, standard, testing]",0.88
TheHolyWaffle/TeamSpeak-3-Java-API,ctongfei/progressbar,"[api, junit, logging, slf4j, testing]",0.71
huaban/jieba-analysis,oracle/pgql-lang,"[apache, commons, junit, testing]",1.0
hoijui/JavaOSC,laforge49/JActor,"[api, junit, logging, slf4j, testing]",0.71
TooTallNate/Java-WebSocket,kokorin/Jaffree,"[api, junit, logging, slf4j, testing]",0.71
JitseB/NPCLib,ViaVersion/ViaRewind,"[api, framework, io, netty, network, socket]",0.75
LinShunKang/MyPerf4J,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.83
AdoptOpenJDK/jitwatch,giltene/jHiccup,"[junit, testing]",1.0
garbagemule/MobArena,gardncl/elements-of-programming-interviews,"[junit, matching, mock, mocking, testing]",0.71
j256/simplemagic,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
JakeWharton/DiskLruCache,SonarSource/sonar-scanner-gradle,"[assertion, io, junit, quality, testing]",0.71
gwtbootstrap3/gwtbootstrap3,samskivert/jmustache,"[framework, google, gwt, junit, testing, ui, web]",0.88
harrywfl/JavaGuide,j256/two-factor-auth,"[base64, codec, encoding, junit, testing]",0.83
cybergarage/cybergarage-upnp,dlsc-software-consulting-gmbh/FormsFX,"[junit, testing]",1.0
jhg023/SimpleNet,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",0.71
CryptoMorin/XSeries,yago-naga/yago3,"[junit, testing]",1.0
eBay/cors-filter,tbroyer/gwt-maven-archetypes,"[api, javax, servlet, specs, standard]",0.71
andytill/erlyberly,perlundq/yajsync,"[junit, testing]",1.0
MichaelTamm/junit-toolbox,spotify/trickle,"[analysis, defect, google, junit, metadata, mock, mocking, testing]",0.73
alexnederlof/Jasper-report-maven-plugin,amaembo/huntbugs,"[annotations, apache, api, build, build-system, codehaus, javax, junit, maven, metadata, model, plugin, servlet, specs, standard, testing, tools]",0.71
Slimefun/Slimefun4,elBukkit/MagicPlugin,"[analysis, api, defect, github, google, metadata, mock, mocking, testing]",0.82
AdoptOpenJDK/openjdk-jdk,openjdk/amber,"[api, file-system, ide, interface, junit, layout, loader, module, netbeans, swing, testing, ui, visual]",0.72
grundid/nfctools,kokorin/Jaffree,"[api, io, junit, logging, slf4j, testing]",0.86
giltene/jHiccup,perlundq/yajsync,"[junit, testing]",1.0
apavlo/h-store,cucumber-attic/gherkin2,"[junit, mocking, testing]",0.75
kiegroup/droolsjbpm-knowledge,vasia/gelly-streaming,"[bridge, junit, logging, slf4j, testing]",0.83
huaban/jieba-analysis,thrau/jarchivelib,"[apache, commons, junit, testing]",0.8
notnoop/java-apns,rickfast/consul-client,"[analysis, annotations, api, binding, client, defect, google, http, json, junit, logging, metadata, mock, mocking, slf4j, testing]",0.73
TooTallNate/Java-WebSocket,aliyun/aliyun-log-java-producer,"[api, junit, logging, slf4j, testing]",0.71
WeiYe-Jing/datax-web,wxgzgl/LarkMidTable,"[apache, api, beans, bigdata, bootstrap, bridge, client, cloud, codehaus, commons, communication, connector, database, dependency-injection, distributed, driver, file-system, framework, github, google, groovy, hadoop, hbase, io, jdbc, json, junit, jvm, jwt, language, logging, model, mongodb, mysql, native, netty, network, nosql, persistence, postgresql, query, remoting, security, slf4j, socket, spring, sql, starter, storage, swagger, testing, ui, webservice]",0.98
NLPchina/nlp-lang,j256/simplemagic,"[apache, api, junit, logging, slf4j, testing]",0.86
ElectronicChartCentre/java-vector-tile,pokemongo-dev-contrib/pokemongo-game-master,"[google, junit, protocol, serialization, testing]",1.0
Password4j/password4j,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.71
boncey/Flickr4Java,jhg023/SimpleNet,"[api, github, junit, logging, slf4j, testing]",0.86
TopQuadrant/shacl,conversant/disruptor,"[api, junit, logging, slf4j, testing]",0.71
openjdk/jdk,openjdk/panama-foreign,"[apache, api, dom, file-system, github, graphics, ide, interface, junit, layout, loader, module, netbeans, svg, swing, testing, ui, visual]",1.0
f4b6a3/uuid-creator,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",0.71
Bukkit/Bukkit,SpigotMC/Spigot-API,"[google, json, junit, library, matching, testing, yaml]",1.0
apavlo/h-store,zeromq/jzmq,"[junit, mocking, testing]",1.0
ipfs-shipyard/java-ipfs-http-client,petitparser/java-petitparser,"[github, junit, matching, testing]",1.0
kokorin/Jaffree,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
conversant/disruptor,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",1.0
apache/commons-fileupload,jfree/jfreechart-fse,"[api, javax, junit, servlet, specs, standard, testing]",0.78
NLPchina/nlp-lang,zeroturnaround/zt-exec,"[apache, api, junit, logging, slf4j, testing]",0.75
openlookeng/hetu-core,prestodb/presto,"[amazon, analysis, analyzer, annotations, apache, api, avro, aws, base64, benchmark, bootstrap, broker, bytecode, cache, cassandra, cli, client, cloud, cluster, codec, collections, column, command-line, commons, compiler, compression, computing, concurrent, config, connection, connector, console, coordination, csv, database, decoder, defect, directory, discovery, distributed, docker, driver, elastic, elasticsearch, embedded, encoding, event, expression, facebook, framework, geometry, geospatial, github, google, hadoop, http, index, interface, io, javax, jaxrs, jdbc, jmx, json, jvm, jwt, kafka, language, ldap, library, logging, lucene, manager, matching, math, maven, measurement, memory, message, metadata, mock, mocking, mongodb, mysql, native, netty, network, nosql, parquet, parser, plugin, postgresql, protocol, redis, reflection, regexp, repository, resource, rest, runner, runtime, s3, scala, sdk, search, security, serialization, server, socket, spatial, specs, sql, standard, stats, streaming, structures, tabular, terminal, testing, testng, thrift, token, toolkit, tools, tracing, transport, tree, units, url, zookeeper]",0.71
maxmind/geoip-api-java,stleary/JSON-java,"[junit, mock, mocking, testing]",0.8
laforge49/JActor,whitesock/open-replicator,"[api, junit, logging, slf4j, testing]",0.83
ObjectLayout/ObjectLayout,thomasmueller/minperf,"[benchmark, generator, junit, performance, testing]",1.0
conversant/disruptor,moditect/jfrunit,"[api, junit, logging, slf4j, testing]",0.71
giltene/jHiccup,vert-x3/vertx-redis-client,"[junit, testing]",1.0
TheHolyWaffle/TeamSpeak-3-Java-API,alibaba/cooma,"[api, junit, logging, slf4j, testing]",0.71
SQLDroid/SQLDroid,ahorn/android-rss,"[android, google, junit, platform, testing]",0.71
JodaOrg/joda-money,zeromq/jeromq,"[junit, testing]",1.0
jalkanen/speed4j,tzaeschke/ode4j,"[api, junit, logging, slf4j, testing]",1.0
OWASP/json-sanitizer,hsiafan/apk-parser,"[analysis, defect, google, junit, metadata, testing]",0.86
SAP/SapMachine,openjdk/mobile,"[apache, api, dom, file-system, github, graphics, ide, interface, junit, layout, loader, module, netbeans, svg, swing, testing, ui, visual]",1.0
ElectronicChartCentre/java-vector-tile,MobilityData/gtfs-realtime-bindings,"[google, junit, protocol, serialization, testing]",1.0
TNG/JGiven,sdbg/sdbg,"[annotations, apache, api, build, build-system, maven, metadata, model, plugin, tools]",0.77
apache/commons-imaging,fordfrog/apgdiff,"[junit, matching, testing]",0.75
Esri/geometry-api-java,julman99/gson-fire,"[json, junit, testing]",0.75
JodaOrg/joda-time,mpatric/mp3agic,"[junit, testing]",1.0
