filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getMainDictionary,72,5,MethodDeclaration,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getQuantifierDictionary,79,5,MethodDeclaration,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getExtDictionarys,86,5,MethodDeclaration,java.util.List,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getExtDictionarys,86,5,MethodDeclaration,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getExtStopWordDictionarys,94,5,MethodDeclaration,java.util.List,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg,Configuration,getExtStopWordDictionarys,94,5,MethodDeclaration,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,39,39,ClassOrInterfaceType,org.wltea.analyzer.cfg.Configuration,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,44,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,45,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,50,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,52,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,54,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,56,33,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,58,30,VariableDeclarator,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,getInstance,72,16,ObjectCreationExpr,org.wltea.analyzer.cfg.DefaultConfig,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,getInstance,71,5,MethodDeclaration,org.wltea.analyzer.cfg.Configuration,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,79,17,ObjectCreationExpr,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,85,22,Parameter,java.io.IOException,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,21,VariableDeclarator,java.io.InputStream,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,79,9,NameExpr,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,82,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,82,13,NameExpr,java.io.InputStream,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,84,17,NameExpr,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,84,35,NameExpr,java.io.InputStream,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,86,17,NameExpr,java.io.IOException,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,29,ThisExpr,org.wltea.analyzer.cfg.DefaultConfig,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,29,MethodCallExpr,java.lang.ClassLoader,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,29,MethodCallExpr,java.lang.Class,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,81,29,MethodCallExpr,java.lang.Object,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,84,17,MethodCallExpr,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,86,17,MethodCallExpr,java.lang.Throwable,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,,78,5,ConstructorDeclaration,org.wltea.analyzer.cfg.DefaultConfig,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,setUseSmart,109,9,ThisExpr,org.wltea.analyzer.cfg.DefaultConfig,false (src),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,setUseSmart,107,5,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,118,16,VariableDeclarator,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,118,33,NameExpr,java.util.Properties,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,118,51,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,119,13,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,119,39,NameExpr,java.lang.String,false (JRE),,,
src/main/java/org/wltea/analyzer/cfg/DefaultConfig.java,org.wltea.analyzer.cfg,DefaultConfig,useMainDict,120,28,NameExpr,java.lang.Boolean,false (JRE),,,
