groupId,artifactId,mcrTags
com.navercorp.pinpoint,pinpoint-grpc,"grpc,rpc,protocol"
org.uma.jmetal,jmetal-example,example
com.amazonaws,aws-java-sdk-simpleworkflow,"aws,amazon,sdk"
org.gephi,visualization-api,"module,visualization,api,netbeans"
org.fakereplace,fakereplace-dist,distribution
org.kitesdk,kite-morphlines-hadoop-sequencefile,hadoop
io.opentracing.contrib,opentracing-redis-redisson,"database,io,redis,tracing"
io.quarkus,quarkus-container-image-docker,"image,container,docker,io"
org.hisrc.jsonix,jsonix-schema-compiler,"compiler,schema"
org.springframework.cloud,spring-cloud-schema-registry-client,"registry,spring,schema,cloud,client"
org.springframework.boot,spring-boot-gradle-plugin,"plugin,spring,build,build-system,gradle,groovy"
info.novatec,micronaut-camunda-bpm-feature,bpm
com.datastax.spark,spark-cassandra-connector_2.11,"database,cassandra,spark,client,connector"
net.gplatform,Sdk4J,sdk
org.apache.portals,portlet-api_2.0_spec,"portlet,portal,apache,api"
org.openhab.addons.bundles,org.openhab.binding.amazonechocontrol,"binding,bundle"
net.java.truevfs,truevfs-driver-zip,driver
org.sonarsource.php,php-checks,sonar
es.gob.afirma,afirma-ui-core-jse-keystores,ui
org.jboss.forge.addon,parser-java-impl,"parser,jboss"
com.mycila.com.google.inject,guice,"google,dependency-injection"
com.datastax.spark,spark-cassandra-connector_2.10,"database,cassandra,spark,client,connector"
org.wicketstuff,wicketstuff-inmethod-grid,wicket
org.apache.flink,flink-streaming-kinesis-test,"aws,streaming,testing,apache"
org.eclipse.rdf4j,rdf4j-repository-event,"rdf,repository,event,eclipse"
com.gwtplatform,gwtp-mvp-client,client
software.amazon.awssdk,resiliencehub,"aws,amazon"
org.minbox.framework,api-boot-starter-resource-load,"framework,resource,api,starter"
org.wildfly.arquillian,wildfly-arquillian-container-domain-managed,container
de.adorsys.psd2,consent-management-lib,"library,management"
org.wildfly.camel,wildfly-camel-subsystem-core,camel
org.webjars.bower,angular-fullscreen,"assets,angular,web"
org.glassfish.jersey.ext,jersey-bean-validation,"beans,webservice,validation"
io.sirix,sirix-core,io
org.apache.gora,gora-core,"hadoop,apache"
io.micrometer,micrometer-registry-atlas,"registry,io"
org.webjars.bower,cytoscape,"web,assets"
io.confluent,kafka-protobuf-provider,"provider,streaming,serialization,kafka,io,protocol"
org.apache.isis.extensions,isis-extensions-quartz-impl,"scheduling,apache,extension"
org.springframework.xd,spring-xd-extension-script,"spring,scripting,extension"
de.mkammerer.wiremock-junit5,wiremock-junit5,"junit,testing"
org.pentaho.reporting.engine,wizard-core,"reporting,engine"
com.google.collections,google-collections,"google,collections,structures"
