repositoryName,mcrTags
SAP-archive/cloud-platform-iot-starterkit,"[api,base64,client,cloud,codec,eclipse,encoding,google,json,junit,plugin,testing,web]"
DataLinkDC/dlink,"[annotations,apache,binding,client,code,codegen,connector,database,driver,embedded,generator,google,hadoop,hibernate,jdbc,json,junit,metadata,mysql,persistence,postgresql,spring,sql,starter,testing,token,validation,yarn]"
SimpleAmazonGlacierUploader/SAGU,"[amazon,apache,aws,base64,client,cloud,codec,computing,encoding,http,json,logging,matching,mock,mocking,sdk,testing,testng]"
anotheria/moskito,"[amqp,annotation,aop,apache,api,aspect,base64,cache,client,codec,collections,commons,communication,config,database,dependency-injection,disk,driver,embedded,encoding,framework,google,http,javax,json,jsp,matching,message,mock,mocking,mongodb,monitoring,notification,plugin,processor,provider,queue,rabbitmq,server,servlet,specs,spring,sql,standard,starter,structures,tags,testing,web,webservice]"
tabulapdf/tabula-java,"[apache,api,cli,command-line,commons,csv,encryption,github,google,json,junit,logging,parser,pdf,slf4j,tabular,testing]"
hyperledger/fabric-gateway-java,"[assertion,base64,cloud,codec,encoding,engine,ibm,io,junit,launcher,mock,mocking,platform,quality,sdk,testing]"
xwiki/xwiki-platform,"[analysis,annotations,apache,api,assets,asynchronous,authentication,authorization,binding,bootstrap,bridge,buffer,bytecode,cache,captcha,chart,charts,client,cluster,codec,compression,config,container,cryptography,css,dashboard,database,date,defect,deployment,diff,directory,distribution,docker,dom,driver,eclipse,elastic,elasticsearch,engine,event,extension,file-system,filtering,fluent,font,github,google,graph,graphics,groovy,hibernate,html,http,i18n,image,import,index,integration,io,javascript,javax,jaxrs,jboss,jdbc,jetty,jmx,jndi,jquery,json,junit,load,logging,macro,mail,manager,mapping,matching,metadata,metrics,migration,mock,mocking,model,module,mysql,native,netty,network,parser,patch,pdf,performance,persistence,platform,plugin,pool,pooling,portlet,posix,postgresql,protocol,python,query,realtime,reference,relational,remote,render,repository,resource,rest,rss,scheduling,scripting,search,security,selenium,serialization,server,servlet,signing,slf4j,socket,solr,sound,specs,sqlite,standard,storage,streaming,styles,svg,syndication,syntax,template,testing,text,time,tools,transaction,transport,tree,tts,ui,url,validation,viewer,visualization,web,webapp,webserver,websocket,wiki,xml]"
haoxiaoyong1014/springboot-examples,"[admin,apache,api,authentication,bootstrap,cache,client,cloud,code,codegen,commons,config,connector,database,driver,encoder,engine,generator,github,google,io,json,jwt,logging,mysql,oauth,persistence,redis,security,server,spring,starter,swagger,template,ui]"
webfolderio/ui4j,"[aop,api,aspect,graphics,io,json,junit,logging,parser,slf4j,swing,testing,ui,web,xml]"
dayatang/dddlib,"[analysis,annotations,aop,apache,api,aspect,assertion,base64,beans,binding,bridge,bytecode,cache,client,code,codec,codegen,codehaus,commons,compiler,config,connector,database,dependency-injection,driver,eclipse,embedded,encoding,excel,expression,framework,full-text,generator,github,google,groovy,hibernate,index,indexing,io,javaee,javax,jboss,jdbc,jpa,json,junit,jvm,language,logging,lucene,mapping,matching,mock,mocking,mvc,mysql,orm,parser,persistence,pool,pooling,quality,redis,reflection,relational,rule-engine,runtime,scheduling,security,servlet,slf4j,specs,spreadsheet,spring,sql,standard,support,testing,transaction,tree,upload,validation,web,xml,yaml]"
awslabs/aws-athena-query-federation,"[amazon,annotations,apache,api,aws,bridge,buffer,cache,cli,client,cloud,command-line,commons,compiler,computing,connector,database,driver,dynamodb,elastic,elasticsearch,encryption,engine,framework,google,graph,groovy,hadoop,hbase,http,io,jdbc,json,junit,lambda,logging,matching,memory,metadata,metrics,mock,mocking,mongodb,monitoring,mysql,netty,network,nosql,parser,postgresql,redis,redshift,rest,s3,sdk,search,signing,slf4j,socket,sql,template,testing,testng,text]"
uber/h3-java,"[benchmark,generator,google,junit,performance,testing]"
RUB-NDS/BurpSSOExtension,"[api,base64,codec,encoding,io,json,junit,testing]"
raml-org/raml-java-parser,"[analysis,annotations,apache,api,date,defect,github,google,io,javascript,javax,json,junit,jvm,language,logging,mail,matching,metadata,mock,mocking,module,schema,scripting,slf4j,specs,standard,testing,time,tools,validation,yaml]"
